,受理番号,相談種別ID,【相談内容分類：ガイドブックmission1に準拠して】,,件名,相談内容,相談備考,対応状況,処置備考,【FAQ用】検索キーワード,案件項目【Mission1】,提示する対策項目【Mission2～4】,【FAQ用】標準回答（案）,【FAQ用】対策のための参考資料・サイト（ここからセキュリティ等を参照）
,170,2,,,システムを導入予定であるが、セキュリティ対策上、どの程度のシステムを導入すべきか教えてほしい。,"１　福祉関係の仕事上、個人名等の個人情報を　取扱っている。
２　今後、個人情報等を管理するため、システム　の導入を考えているが、セキュリティ対策上、ど　の程度のシステムを導入したら良いのか分から　ないので、教えて頂きたい。　",,"１　システムを導入するに当たっては、費用がかかるので、仮に個人情報等の流出に伴い、被る損害と損害を防ぐ費用、所謂費用対効果を比較した上で、システムを導入することが良いと考えられている。
２　以上のことを念頭に置き、ベンダと良く相談し、システム導入することを教示した。",,,,,,
,171,1,,,携帯に突然ウイルス検出が表示された。,"携帯画面に「この携帯にウイルスが検出された」と表示された。
ウイルスを削除するために次の入力を要求され
た。
①携帯のＩＤ（Ｉ－ｐｈon SE)とＰＷ
②氏名
③生年月日
④メールアドレス　を入力してしまった。

警告の表示を終了させることができず、クレジト番号と種別をさらに求められたので、不審に思いＮＴＴドコモ販売店に相談したら都庁サイバーセキュリティへの問い合せを勧められた。
対応方法を教えてください。

※ウイルス検出警告時にバックアップ処理を実施した。",,"ウイルス検出の偽造警告による詐欺と思われるので、騙されないように状況を説明。
携帯の初期化（工場出荷状態）への再設定とウイルスチェックプログラムの設定を依頼した。",ドコモ購入先店が携帯への処置や対応を説明せず、直接都庁サイバーセキュリティ相談窓口への照会は適切さに問題。,,,,,
,172,1,,,ウイルスを検出、ウイルス対策ソフト購入メッッセージが表示。,"ＰＣ上に「ウイルスを検出したのでウイルス対応ソフトの購入が必要」とのメッセージが表示された。
メッセージの連絡先に電話し、名前、住所、クレジット番号を教えたが、対応が不安になり再度電話したら、不通で連絡がとれない。
対応を教えてください。

Ｐｃ；Windows７、ウイルスバスター導入

※ご婦人より代理問い合わせ。",,「ウイルス検出警告詐欺」と思われるのでクレジット会社への通知を最優先で依頼した。,２ヶ月前にも同様な被害があり、クレジットカード会社に通知しカードを再発行した。,,,,,
,173,2,,,Ｙａｈｏｏ検索の補助表示が不適切である。,"Ｙａｈｏｏ検索で当社名検索（タクミクレスト）を入力すると、キーワード入力補助にタクミクレスト倒産と表示される。当社外のＰｃで検索しても同様に表示されるので困っています。
対応策があれば教えてください。","検索画像に「タクミ倒産」が同時検索される。
他社の画像であり、タクミクレスト社と無関係。",個人での対応は難しいので、Ｙａｈｏｏ検索に関する問合せ窓口に調査確認メールの送付を勧めた。,中小企業振興公社よりＴｓｙｓｓを紹介された。,,,,,
,174,1,,,「電話帳ナビＡｐ」に誹謗中傷が書かれてる,"電話帳ナビＡｐに当社の電話番号を紹介すると
コメント欄に誹謗中傷が記載され営業上大変迷惑しています。
掲載Ｗｅｂ会社の問い合せ窓口（メール）に削除要請をしたが対応が不明です。
対処方法があれば教えてください。",,"誹謗中傷内容をＷｅｂで確認した。
インターネットにも電話帳ナビ投稿内容ついてのトラブル対応が多く掲載されているので一部を紹介した。（注）

尚、Ｗｅｂ掲載会社の対応状況について「法テラス」への相談を勧めた。",※注：弁護士相談Ｃａｆｅ（ネット誹謗中傷）,,,,,
,175,1,,,e-park（インターネット予約サイト）に事業者として登録しているが、最近予約・キャンセルが繰り返される,"●e-parkとは
インターネット予約サイトで利用者が予約すると2000円、キャンセルすると2000円徴収される
●事業者からの相談内容
最近予約が入らないので、8月末でちょうど1年契約の切れる時期なので契約を解除しようと思っていたが、8月になってから予約が多数入り、8月21日以降すべてがキャンセルされた。

e-park側でアルバイト等を使って、行っているのではないか？

どう対応すべきか？",ほとんど同じような内容で公社に相談したが、東京都の窓口を紹介された。,"セキュリティ案件でなく、また、詐欺的な内容の具体的な対応策を助言することは困難。
事業者であり消費者センターが対応しないので、法テラスを紹介した。
まずは、法テラスに相談して、その助言によっては警視庁に相談もしくは届出たらいい。",犯罪として立証は困難と思われる。早期に契約を解除したほうがいい。,,,,,
,176,1,,,Ｆａｃｅブックに海外から投稿が不正に行われている。,"自社のＦａｃｅブックで会社案内や広告案内をしている。
最近Ｆａｃｅブック画面の投稿タグに海外から商品販売案内の不正な投稿が異常に増えている。

アカント権限で削除作業を実施したいがパスワードが奪取されログインができない。",,"Ｆａｃｅブック運用での対応が必要と思われる。
問い合せ窓口へアカント一時停止とパスワードの再設定要請を勧めた。",,,,,,
,177,4,,,Ｔｓｙｓｓの活動内容を知りたい。,トレンドマイクロ社のホームページに掲載されているＴｓｙｓｓ活動について知りたい。,,サイバーセキュリティ担当係と直接都庁にて面談を予定。（９/19),,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
